Speed,Commande,Error,IntErr,kp,ki,kd,time,filter_type
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467025,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467050,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467075,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467100,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467125,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467150,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467175,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467200,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467225,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467250,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467275,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467300,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467325,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467350,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467375,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467400,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467425,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467450,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467475,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467500,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467525,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467550,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467575,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467600,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467625,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467650,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467675,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467700,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467725,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467750,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467775,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467800,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467825,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467850,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467875,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467900,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467925,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467950,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46467975,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468000,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468025,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468050,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468075,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468100,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468125,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468150,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468175,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468200,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468225,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468250,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468275,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468300,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468325,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468350,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468375,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468400,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468425,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468450,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468475,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468500,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468525,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468550,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468575,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468600,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468625,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468650,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468675,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468700,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468725,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468750,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468775,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468800,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468825,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468850,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46468875,1
